,Discipline,Language,Edited by,Publication details,History,Publisher,Frequency,Impact factor,Standard abbreviations ISO 4 ( alt ) · Bluebook ( alt1 · alt2 ) NLM ( alt ) · MathSciNet ( alt ),ISO 4,Indexing CODEN · JSTOR ( alt ) · LCCN ( alt ) MIAR · NLM ( alt ) · Scopus,CODEN,ISSN,LCCN,OCLC no.,Links,title,description,Standard abbreviations ISO 4 ( alt ) · Bluebook ( alt1 · alt2 ) NLM · MathSciNet,Former name(s),Open access,NLM,License,Editor,Categories,Year founded,Country,Website,OCLC,Indexing CODEN · JSTOR · LCCN MIAR · NLM · Scopus
0,"Chemistry, biochemistry",English,Cynthia J. Burrows,Cynthia J. Burrows,1968–present,American Chemical Society (United States),Monthly,22.384 (2020),22.384 (2020),Acc. Chem. Res.,Acc. Chem. Res.,ACHRE4,0001-4842 (print)1520-4898 (web),70008300,475052789,475052789,Accounts of Chemical Research,"Accounts of Chemical Research is a monthly peer-reviewed scientific journal published by the American Chemical Society containing overviews of basic research and applications in chemistry and biochemistry. It was established in 1968 and the editor-in-chief is Cynthia J. Burrows (University of Utah).[1]
",,,,,,,,,,,,
1,Chemistry,"English, German, French",,"English, German, French",1947-1999,"Danish Chemical Society, Finnish Chemical Societies, Norwegian Chemical Society, Swedish Chemical Society",,,,Acta Chem. Scand.,,,,,,Acta Chem. Scand.,Acta Chemica Scandinavica,"Acta Chemica Scandinavica was a peer-reviewed Nordic scientific journal in the fields of chemistry. The journal was established in 1947 and was jointly managed during 53 years from beginning of 1947 until end of 1999 by the chemical societies in Denmark (The Danish Chemical Society), Finland (Finnish Chemical Societies), Norway (The Norwegian Chemical Society) and Sweden (The Swedish Chemical Society). The journal was jointly owned by the four chemical societies through the Publishing Association Acta Chemica Scandinavica. The Swedish Chemical Society managed the administration of the Publishing Association at their Secretariat in Stockholm.
","Danish Chemical Society, Finnish Chemical Societies, Norwegian Chemical Society, Swedish Chemical Society",,,,,,,,,,,
2,Chemistry,"English, Slovene",Aleksander Pavko,Aleksander Pavko,1954–present,Slovenian Chemical Society (Slovenia),Quarterly,1.104 (2017),1.104 (2017),Acta Chim. Slov.,Acta Chim. Slov.,ACSLE7,1318-0207 (print)1580-3155 (web),94646636,29881395,29881395,Acta Chimica Slovenica,"Acta Chimica Slovenica is a quarterly scientific journal of chemistry. It comprises two parts: The first part contains peer-reviewed scientific and expert articles from the various fields of chemistry, written in English and accompanied by abstracts in Slovene. The second part, written in Slovene, contains societal news: lists of newly conferred academic degrees, reports on the work of the sections of the Slovenian Chemical Society, expert articles and book reviews, and news on conferences and other meetings. The journal and the articles published since 1998 are also available online. The journal was established in 1954 as Vestnik Slovenskega kemijskega društva and obtained its current name in 1993.
",,Vestnik Slovenskega kemijskega društva,,,,,,,,,,
3,Materials Science,English,Joern Ritterbusch,Joern Ritterbusch,1985–present,Wiley-VCH (Germany),weekly,18.808 (2020),18.808 (2020),Adv. Funct. Mater.,Adv. Funct. Mater.,AFMDC6,1616-301X (print)1616-3028 (web),2001205770,,2001205770,Advanced Functional Materials,"Advanced Functional Materials is a peer-reviewed scientific journal, published by Wiley-VCH. Established in February 2001, the journal began to publish monthly in 2002 and moved to 18/year in 2006,  biweekly in 2008, and weekly in 2013.
",,"Advanced Materials for Optics and Electronics 1992 - 2000, Chemtronics 1986 - 1991 , Journal of Molecular Electronics 1985 - 1991",some,,,,,,,,,
4,Chemistry,English,,English,1968–present,Sigma-Aldrich (USA),,17.083[1] (2014),17.083[1] (2014),Aldrichimica Acta,Aldrichimica Acta,ALACBI,0002-5100,,,0002-5100,Aldrichimica Acta,"Aldrichimica Acta is a scientific journal published by Sigma-Aldrich. Established in 1968 in Milwaukee, Wi, Aldrichimica Acta publishes reviews in the field of synthetic organic chemistry, with each issue focusing on a special topic. The journal is open access. In 2015, the Acta was ranked #1 among journals in the field of organic chemistry by impact factor.[2]
",,,,,,,,,,,,
5,Analytical chemistry,English,Norman Dovichi,Norman Dovichi,1876–present,Royal Society of Chemistry (United Kingdom),Biweekly,3.864 (2017),3.864 (2017),Analyst,Analyst,ANALAO,0003-2654 (print)1364-5528 (web),,01481074,01481074,Analyst,"Analyst is a biweekly peer-reviewed scientific journal covering all aspects of analytical chemistry, bioanalysis, and detection science. It is published by the Royal Society of Chemistry and the editor-in-chief is Duncan Graham (University of Strathclyde). The journal was established in 1876 by the Society for Analytical Chemistry.
",,The Analyst,,,,,,,,,,
6,Analytical chemistry,English,,English,1947–present,Elsevier (Netherlands),Weekly,5.977 (2019),5.977 (2019),Anal. Chim. Acta,Anal. Chim. Acta,ACACAM,0003-2670 (print)1873-4324 (web),,01716731,01716731,Analytica Chimica Acta,"Analytica Chimica Acta is a peer-reviewed scientific journal published since 1947 that covers original research and reviews of fundamental and applied aspects of analytical chemistry.[1]
",,,,,,,,,,,,
7,Chemistry,English,"A.J Baeumner H. Cui, G. Gauglitz, G. Hopfgartner, L. Mondello, M.C. Moreno-Bondi, D.C. Muddiman, S. Szunerits, Q. Qang, S.A. Wise","A.J Baeumner H. Cui, G. Gauglitz, G. Hopfgartner, L. Mondello, M.C. Moreno-Bondi, D.C. Muddiman, S. Szunerits, Q. Qang, S.A. Wise",1862–present,Springer (Germany),biweekly,3.286 (2018),3.286 (2018),Anal. Bioanal. Chem.,Anal. Bioanal. Chem.,,1618-2642 (print)1618-2650 (web),,,1618-2642 (print)1618-2650 (web),Analytical and Bioanalytical Chemistry,"Analytical and Bioanalytical Chemistry is a peer-reviewed scientific journal publishing research articles in the broad field of analytical and bioanalytical chemistry.[1] Some of the subjects covered are the development of instruments for mass spectrometry, metallomics, ionics, and the analytical characterization of nano- and biomaterials. The journal was first published in 1862 under the name Fresenius’ Journal of Analytical Chemistry. In 2002 the journal was renamed to Analytical and Bioanalytical Chemistry.
",,,,,,,,,,,,
8,Chemistry,English,Jonathan V. Sweedler,Jonathan V. Sweedler,1929–present,ACS Publications (United States),Biweekly,6.785 (2019),6.785 (2019),Anal. Chem.,Anal. Chem.,ANCHAM,0003-2700 (print)1520-6882 (web),31021682,37355019,37355019,Analytical Chemistry,"Analytical Chemistry is a biweekly peer-reviewed scientific journal published since 1929 by the American Chemical Society. Articles address general principles of chemical measurement science and novel analytical methodologies. Topics commonly include chemical reactions and selectivity, chemometrics and data processing, electrochemistry, elemental and molecular characterization, imaging, instrumentation, mass spectrometry, microscale and nanoscale systems, -omics, sensing, separations, spectroscopy, and surface analysis. It is abstracted and indexed in Chemical Abstracts Service, CAB International, EBSCOhost, ProQuest, PubMed, Scopus, and the Science Citation Index Expanded. According to the Journal Citation Reports, it has a 2019 impact factor of 6.785[1] and is the top analytical chemistry journal ranked by h-index in the SCImago Journal Rank.[2] The editor-in-chief is Jonathan V. Sweedler (University of Illinois).
",,,,,,,,,,,,
9,Chemistry,"German, English",Neville Compton,Neville Compton,"1887–present (in German), 1962–present (in English)",Wiley-VCH (Germany),Weekly,15.336 (2020),15.336 (2020),Angew. Chem.,Angew. Chem.,"(International), ANCEAD (German) ACIEF5 (International), ANCEAD (German)",1433-7851 (print)1521-3773 (web),,,1433-7851 (print)1521-3773 (web),Angewandte Chemie,"Angewandte Chemie (German pronunciation: [ˈaŋɡəˌvantə çeˈmiː], meaning ""Applied Chemistry"") is a weekly peer-reviewed scientific journal that is published by Wiley-VCH on behalf of the German Chemical Society (Gesellschaft Deutscher Chemiker). Publishing formats include feature-length reviews, short highlights, research communications, minireviews, essays, book reviews, meeting reviews, correspondences, corrections, and obituaries. This journal contains review articles covering all aspects of chemistry. In 2018[update] its impact factor was 12.257, and it was ranked 17th out of 172 in the subject category ""chemistry, multidisciplinary.""[1]
",,,,,,,,,,,,
